epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,41900.4,0.18057,0.14877,0.84245,0.9955,0.98673,0.99488,0.99012,0.13138,0.09145,0.78974,0.0071785,0.0071785,0.0071785
59,42620.3,0.1795,0.14719,0.84283,0.99619,0.98723,0.99489,0.98974,0.13464,0.09267,0.79318,0.007129,0.007129,0.007129
60,43367.7,0.18113,0.14718,0.84275,0.99615,0.98679,0.99488,0.98983,0.13324,0.09275,0.79175,0.0070795,0.0070795,0.0070795
61,44071,0.1788,0.14728,0.84268,0.9953,0.98645,0.99487,0.98988,0.13474,0.09352,0.79256,0.00703,0.00703,0.00703
62,44794.9,0.17979,0.14806,0.84335,0.99526,0.98611,0.99487,0.99008,0.1349,0.09439,0.79252,0.0069805,0.0069805,0.0069805
63,45490,0.17927,0.14643,0.84226,0.99538,0.98576,0.99486,0.99002,0.13494,0.09472,0.79251,0.006931,0.006931,0.006931
64,46199.6,0.17766,0.14534,0.84193,0.99504,0.98628,0.99487,0.99032,0.13396,0.09431,0.79176,0.0068815,0.0068815,0.0068815
65,46909.8,0.17734,0.14492,0.84226,0.99515,0.98646,0.99489,0.99033,0.13311,0.09318,0.7917,0.006832,0.006832,0.006832
66,47626.2,0.17719,0.14476,0.84245,0.99687,0.98525,0.99489,0.99035,0.13246,0.09208,0.7918,0.0067825,0.0067825,0.0067825
67,48356,0.17564,0.14331,0.84115,0.99638,0.98542,0.99489,0.99025,0.13213,0.09181,0.79202,0.006733,0.006733,0.006733
68,49049.8,0.17425,0.14432,0.84096,0.99653,0.9857,0.99489,0.99041,0.13205,0.0916,0.79136,0.0066835,0.0066835,0.0066835
69,49777.4,0.1745,0.14301,0.8426,0.99705,0.98537,0.9949,0.99062,0.13187,0.09111,0.79072,0.006634,0.006634,0.006634
70,50476.1,0.17397,0.14127,0.8426,0.99621,0.98628,0.9949,0.99078,0.13157,0.08958,0.7904,0.0065845,0.0065845,0.0065845
71,51201.5,0.17222,0.14011,0.84026,0.99567,0.98711,0.99491,0.99089,0.13111,0.08818,0.7903,0.006535,0.006535,0.006535
72,51897.9,0.17079,0.1399,0.83902,0.99556,0.98731,0.99492,0.9909,0.13078,0.0874,0.7899,0.0064855,0.0064855,0.0064855
73,52611.8,0.17257,0.14158,0.84087,0.99405,0.98885,0.99492,0.99089,0.13087,0.08659,0.79022,0.006436,0.006436,0.006436
74,53301.5,0.17106,0.13747,0.84137,0.99488,0.98902,0.99492,0.99095,0.13036,0.08581,0.79021,0.0063865,0.0063865,0.0063865
75,54006.6,0.17228,0.14083,0.84109,0.995,0.9892,0.99492,0.99088,0.13071,0.08619,0.79057,0.006337,0.006337,0.006337
76,54712.4,0.17201,0.14147,0.8413,0.99477,0.98919,0.99493,0.99089,0.13086,0.08633,0.79047,0.0062875,0.0062875,0.0062875
77,55423.9,0.16962,0.13738,0.8407,0.99465,0.98932,0.99492,0.99088,0.1308,0.08606,0.79054,0.006238,0.006238,0.006238
78,56117.6,0.17166,0.14107,0.83915,0.99482,0.98894,0.99492,0.99091,0.13074,0.08593,0.79055,0.0061885,0.0061885,0.0061885
79,56835.2,0.16943,0.13815,0.8388,0.99471,0.98937,0.99493,0.991,0.13038,0.0855,0.79054,0.006139,0.006139,0.006139
80,57526.4,0.16952,0.14018,0.84138,0.99431,0.98974,0.99493,0.99098,0.13075,0.08596,0.79094,0.0060895,0.0060895,0.0060895
81,58245.1,0.17137,0.14086,0.84058,0.99417,0.98971,0.99493,0.99092,0.13142,0.08603,0.79154,0.00604,0.00604,0.00604
82,58938.8,0.16989,0.14098,0.83939,0.99431,0.98984,0.99493,0.99091,0.13164,0.08574,0.79157,0.0059905,0.0059905,0.0059905
83,59656.8,0.16789,0.13841,0.83929,0.9938,0.98966,0.99492,0.99092,0.13148,0.08605,0.79136,0.005941,0.005941,0.005941
84,60351.7,0.16836,0.13649,0.84095,0.99392,0.98988,0.99493,0.99098,0.13119,0.08557,0.79114,0.0058915,0.0058915,0.0058915
85,61064.4,0.16706,0.13632,0.83833,0.99439,0.98988,0.99494,0.99096,0.13101,0.08551,0.79098,0.005842,0.005842,0.005842
86,61775.2,0.16759,0.13601,0.84086,0.99422,0.98988,0.99494,0.99099,0.13068,0.0855,0.79064,0.0057925,0.0057925,0.0057925
87,62481.4,0.16629,0.13591,0.83793,0.99397,0.98989,0.99493,0.9911,0.13028,0.0857,0.79038,0.005743,0.005743,0.005743
88,63200.6,0.16515,0.13547,0.8405,0.99386,0.99005,0.99493,0.99104,0.12998,0.08538,0.79014,0.0056935,0.0056935,0.0056935
89,63898.8,0.16332,0.13205,0.83786,0.99378,0.99005,0.99493,0.99121,0.13007,0.0855,0.79012,0.005644,0.005644,0.005644
90,64616.7,0.16401,0.13168,0.84025,0.994,0.98988,0.99494,0.99118,0.1298,0.08533,0.79005,0.0055945,0.0055945,0.0055945
91,65321.7,0.16324,0.1337,0.83807,0.99419,0.98971,0.99493,0.99111,0.12957,0.08502,0.78995,0.005545,0.005545,0.005545
92,66049.4,0.16269,0.13243,0.83722,0.99448,0.98947,0.99493,0.99126,0.12977,0.08534,0.79006,0.0054955,0.0054955,0.0054955
93,66738.1,0.16121,0.13161,0.83759,0.99431,0.98943,0.99493,0.99128,0.12966,0.08559,0.79006,0.005446,0.005446,0.005446
94,67466,0.16258,0.13304,0.83892,0.99757,0.98611,0.99493,0.9913,0.12991,0.08566,0.79024,0.0053965,0.0053965,0.0053965
95,68155.7,0.16339,0.13358,0.83949,0.99705,0.98642,0.99493,0.99125,0.12945,0.0855,0.79003,0.005347,0.005347,0.005347
96,68871.2,0.16436,0.13412,0.83985,0.99568,0.98793,0.99492,0.99123,0.12916,0.08559,0.78994,0.0052975,0.0052975,0.0052975
97,69572.1,0.16455,0.13499,0.83862,0.99788,0.98542,0.99493,0.9912,0.1293,0.08547,0.79003,0.005248,0.005248,0.005248
98,70278.7,0.15975,0.12896,0.83708,0.99757,0.98542,0.99493,0.99118,0.12939,0.08567,0.79017,0.0051985,0.0051985,0.0051985
99,70985.4,0.15774,0.1268,0.83662,0.99722,0.98545,0.99492,0.99123,0.12941,0.08618,0.79034,0.005149,0.005149,0.005149
100,71700.6,0.16019,0.12824,0.83782,0.99722,0.98548,0.99492,0.9913,0.12932,0.08593,0.7902,0.0050995,0.0050995,0.0050995
101,72412.5,0.16035,0.13013,0.83706,0.99722,0.98548,0.99491,0.99133,0.12948,0.08662,0.79027,0.00505,0.00505,0.00505
102,73125.2,0.15954,0.12912,0.8373,0.99732,0.98542,0.99491,0.99133,0.12946,0.08669,0.79031,0.0050005,0.0050005,0.0050005
103,73838.7,0.15831,0.12962,0.83632,0.997,0.98542,0.9949,0.99133,0.12982,0.0868,0.79046,0.004951,0.004951,0.004951
104,74545.4,0.15817,0.12795,0.83696,0.99722,0.98542,0.99491,0.9913,0.12985,0.08676,0.79048,0.0049015,0.0049015,0.0049015
105,75264.2,0.15662,0.12564,0.83571,0.99379,0.98888,0.99491,0.99127,0.13014,0.08708,0.79044,0.004852,0.004852,0.004852
106,75960.2,0.15723,0.12683,0.83714,0.99712,0.98542,0.99491,0.99133,0.13017,0.08744,0.79038,0.0048025,0.0048025,0.0048025
107,76673.6,0.15823,0.12818,0.83864,0.99704,0.98542,0.99491,0.99123,0.13005,0.08764,0.79026,0.004753,0.004753,0.004753
108,77371.2,0.15652,0.1313,0.8361,0.99727,0.98542,0.99491,0.99115,0.13002,0.08783,0.79014,0.0047035,0.0047035,0.0047035
109,78094.6,0.15479,0.12471,0.83571,0.99726,0.98542,0.99491,0.99116,0.13009,0.08793,0.79005,0.004654,0.004654,0.004654
110,78745.6,0.15515,0.12614,0.83571,0.99726,0.98542,0.99491,0.99119,0.12995,0.0877,0.78995,0.0046045,0.0046045,0.0046045
111,79326.5,0.15449,0.12576,0.83735,0.99724,0.98542,0.99491,0.99122,0.1298,0.08787,0.78994,0.004555,0.004555,0.004555
112,79903,0.15314,0.12507,0.83687,0.99722,0.98559,0.99492,0.99117,0.12963,0.08759,0.78989,0.0045055,0.0045055,0.0045055
113,80503.7,0.15452,0.12807,0.83601,0.99711,0.98559,0.99492,0.99134,0.12915,0.08784,0.78972,0.004456,0.004456,0.004456
114,81076.7,0.15273,0.12666,0.83656,0.9954,0.98782,0.99492,0.99127,0.12888,0.08776,0.78969,0.0044065,0.0044065,0.0044065
115,81644,0.15175,0.12499,0.83508,0.99531,0.98799,0.99492,0.99136,0.12876,0.08738,0.78959,0.004357,0.004357,0.004357
116,82228.2,0.15028,0.12204,0.83471,0.99492,0.98799,0.99492,0.99133,0.12857,0.08738,0.78962,0.0043075,0.0043075,0.0043075
117,82795.4,0.15014,0.12101,0.8356,0.99345,0.98924,0.99492,0.99133,0.12838,0.08792,0.7896,0.004258,0.004258,0.004258
118,83401.1,0.15113,0.12092,0.83532,0.99311,0.98914,0.99492,0.99129,0.12839,0.0885,0.78953,0.0042085,0.0042085,0.0042085
119,83972.2,0.15186,0.12167,0.83384,0.99331,0.98919,0.99492,0.99132,0.12819,0.08861,0.78949,0.004159,0.004159,0.004159
120,84550.9,0.15122,0.12329,0.83536,0.99482,0.9881,0.99492,0.99132,0.1283,0.08825,0.78954,0.0041095,0.0041095,0.0041095
121,85119.3,0.14852,0.11989,0.8351,0.99475,0.98816,0.99492,0.99135,0.12822,0.08763,0.78964,0.00406,0.00406,0.00406
122,85702.5,0.14924,0.11896,0.8349,0.99487,0.98799,0.99492,0.99135,0.12835,0.08738,0.78979,0.0040105,0.0040105,0.0040105
123,86285.2,0.14963,0.12096,0.83427,0.99499,0.98805,0.99493,0.99126,0.12819,0.08734,0.78968,0.003961,0.003961,0.003961
124,86867.1,0.15056,0.12355,0.83585,0.99499,0.98827,0.99493,0.99129,0.12777,0.08705,0.78946,0.0039115,0.0039115,0.0039115
125,87486,0.14885,0.12065,0.83538,0.99492,0.98834,0.99492,0.99136,0.12747,0.08686,0.78937,0.003862,0.003862,0.003862
126,88115,0.14827,0.11931,0.8341,0.99482,0.98816,0.99493,0.99133,0.12741,0.08681,0.78937,0.0038125,0.0038125,0.0038125
127,88743.8,0.14601,0.11762,0.83452,0.99465,0.9886,0.99493,0.99138,0.12716,0.08637,0.78933,0.003763,0.003763,0.003763
128,89373.3,0.14741,0.11794,0.83568,0.99465,0.98897,0.99493,0.99141,0.12684,0.08618,0.78921,0.0037135,0.0037135,0.0037135
129,89967.7,0.14651,0.11625,0.83283,0.99312,0.99027,0.99493,0.99146,0.12675,0.08596,0.7895,0.003664,0.003664,0.003664
130,90534.4,0.15064,0.12098,0.83728,0.99329,0.99041,0.99493,0.99144,0.12671,0.08618,0.78974,0.0036145,0.0036145,0.0036145
131,91114.1,0.14533,0.11793,0.83431,0.99322,0.99039,0.99493,0.99143,0.12649,0.0859,0.78968,0.003565,0.003565,0.003565
132,91698.9,0.14717,0.12034,0.83489,0.99329,0.99048,0.99493,0.99145,0.12671,0.08557,0.79013,0.0035155,0.0035155,0.0035155
133,92266.7,0.14515,0.11847,0.83379,0.99342,0.99074,0.99493,0.99143,0.12656,0.08536,0.79025,0.003466,0.003466,0.003466
134,92846.5,0.14556,0.1161,0.8349,0.99363,0.99066,0.99494,0.99135,0.12652,0.08497,0.7903,0.0034165,0.0034165,0.0034165
135,93414.5,0.14403,0.11646,0.83352,0.99402,0.99039,0.99494,0.99132,0.12674,0.08492,0.79053,0.003367,0.003367,0.003367
136,94019.2,0.14223,0.11462,0.83312,0.99416,0.99022,0.99494,0.99131,0.12709,0.0849,0.79076,0.0033175,0.0033175,0.0033175
137,94673.4,0.14058,0.11342,0.83135,0.99449,0.99027,0.99494,0.99129,0.12718,0.08496,0.79098,0.003268,0.003268,0.003268
138,95319.9,0.14304,0.11527,0.8336,0.99449,0.99016,0.99494,0.9913,0.12751,0.08484,0.79117,0.0032185,0.0032185,0.0032185
