epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,41480.5,0.11909,0.09999,0.82838,0.99315,0.99455,0.99494,0.98956,0.13078,0.08666,0.79757,0.002377,0.002377,0.002377
79,41999.3,0.11794,0.09823,0.82837,0.99324,0.99417,0.99494,0.98957,0.13017,0.08634,0.7973,0.002278,0.002278,0.002278
80,42511,0.11712,0.09896,0.82711,0.99299,0.99434,0.99494,0.98975,0.1293,0.08628,0.79677,0.002179,0.002179,0.002179
81,43026.6,0.11591,0.09728,0.82938,0.99247,0.99455,0.99494,0.98971,0.12878,0.08567,0.79649,0.00208,0.00208,0.00208
82,43532.2,0.1153,0.0964,0.82737,0.99288,0.99451,0.99494,0.98975,0.12819,0.08529,0.7962,0.001981,0.001981,0.001981
83,44041.1,0.11444,0.09563,0.82741,0.99279,0.99468,0.99494,0.98975,0.12797,0.08491,0.79637,0.001882,0.001882,0.001882
84,44546.5,0.11253,0.09507,0.82743,0.99285,0.99468,0.99494,0.98974,0.12763,0.08468,0.79634,0.001783,0.001783,0.001783
85,45057.2,0.1114,0.09291,0.82586,0.99298,0.99448,0.99494,0.98976,0.12758,0.08434,0.79642,0.001684,0.001684,0.001684
86,45570.1,0.11093,0.0916,0.82683,0.99277,0.99451,0.99494,0.98969,0.12764,0.08448,0.79664,0.001585,0.001585,0.001585
87,46055.9,0.1092,0.09096,0.82669,0.99245,0.99468,0.99494,0.98972,0.12727,0.08444,0.79647,0.001486,0.001486,0.001486
88,46543.7,0.10861,0.09099,0.82551,0.99201,0.99468,0.99494,0.98972,0.12719,0.08414,0.79669,0.001387,0.001387,0.001387
89,47030.7,0.10641,0.08858,0.82557,0.99196,0.9949,0.99494,0.98968,0.12719,0.08428,0.79694,0.001288,0.001288,0.001288
90,47519.1,0.10562,0.08738,0.82643,0.99196,0.99471,0.99495,0.98976,0.12741,0.08436,0.79745,0.001189,0.001189,0.001189
91,48007.4,0.07406,0.06257,0.76303,0.99196,0.99488,0.99494,0.98984,0.12754,0.08396,0.79788,0.00109,0.00109,0.00109
92,48489.9,0.07234,0.06127,0.76113,0.99193,0.99485,0.99494,0.9898,0.12753,0.08398,0.79831,0.000991,0.000991,0.000991
93,48975.7,0.07113,0.06136,0.75939,0.99192,0.99503,0.99495,0.98976,0.12762,0.08351,0.79893,0.000892,0.000892,0.000892
94,49462.4,0.06902,0.05857,0.7625,0.99304,0.994,0.99495,0.98972,0.12801,0.08374,0.79979,0.000793,0.000793,0.000793
95,49951.7,0.0676,0.05689,0.76084,0.99333,0.994,0.99495,0.98967,0.12829,0.08435,0.80036,0.000694,0.000694,0.000694
96,50440.7,0.06703,0.05618,0.76045,0.99241,0.99503,0.99495,0.98955,0.12863,0.0845,0.80092,0.000595,0.000595,0.000595
97,50930.8,0.06499,0.05389,0.76261,0.99278,0.99503,0.99496,0.98945,0.12886,0.08466,0.80142,0.000496,0.000496,0.000496
98,51421.7,0.06341,0.05269,0.75928,0.9928,0.99503,0.99496,0.98941,0.12902,0.08456,0.80182,0.000397,0.000397,0.000397
99,51906.6,0.06246,0.05099,0.75907,0.99299,0.99549,0.99496,0.98939,0.12933,0.08466,0.80241,0.000298,0.000298,0.000298
100,52397.3,0.06115,0.04965,0.75735,0.99282,0.99562,0.99496,0.98935,0.12991,0.08489,0.80309,0.000199,0.000199,0.000199
